"word","freq"
"of the",12747
"in the",12359
"to the",6229
"for the",5981
"on the",5906
"to be",4813
"at the",4359
"and the",3831
"in a",3466
"with the",3185
"is a",3115
"it was",2789
"for a",2780
"i was",2558
"i have",2524
"from the",2514
"it is",2499
"and i",2453
"going to",2446
"with a",2440
"will be",2426
"of a",2400
"if you",2263
"is the",2255
"i am",2212
"one of",2205
"have a",2187
"to get",2122
"as a",2065
"want to",1895
"i dont",1889
"by the",1885
"that the",1855
"have to",1767
"to do",1756
"and a",1752
"i think",1736
"this is",1735
"to a",1717
"the first",1678
"was a",1635
"all the",1630
"on a",1625
"that i",1622
"out of",1618
"to see",1606
"i love",1565
"the same",1549
"to make",1500
"you can",1466
"but i",1424
"he was",1424
"have been",1423
"need to",1401
"a lot",1393
"of my",1390
"be a",1380
"thanks for",1327
"would be",1320
"about the",1302
"in my",1269
"you are",1264
"to go",1248
"a little",1245
"when i",1238
"as the",1237
"has been",1222
"you have",1220
"a few",1219
"i had",1212
"i can",1209
"more than",1207
"the best",1203
"a great",1197
"thank you",1197
"he said",1193
"a good",1169
"to have",1144
"had a",1137
"there is",1135
"i know",1122
"into the",1112
"they are",1112
"we are",1110
"that is",1047
"one of the",1044
"the new",1043
"i just",1027
"like a",1015
"we have",1012
"i will",1006
"the most",1006
"a new",1005
"is not",1005
"so much",1003
"do you",994
"over the",994
"the world",987
"part of",962
"so i",962
"there are",952
"was the",951
"lot of",931
"trying to",927
"at least",926
"but the",919
"i cant",903
"and then",895
"all of",892
"a lot of",881
"its a",878
"on my",871
"as well",869
"you know",863
"some of",855
"able to",853
"the time",851
"the way",846
"i would",845
"the other",835
"back to",834
"the last",832
"are you",831
"is that",831
"at a",826
"if i",819
"of his",811
"can be",810
"i want",805
"when you",805
"in this",800
"to me",790
"go to",771
"and it",770
"for me",766
"way to",766
"the next",759
"according to",757
"up to",756
"time to",755
"the end",750
"had to",738
"said the",729
"that he",729
"of this",728
"im not",721
"right now",720
"kind of",717
"has a",715
"i could",712
"in his",712
"when the",704
"the day",701
"should be",700
"to my",696
"to take",696
"thanks for the",692
"they were",691
"he is",690
"that was",686
"the only",682
"i need",675
"as i",674
"what i",673
"of our",666
"be the",665
"this year",662
"but it",660
"like the",657
"how to",643
"me to",643
"would have",643
"i didnt",639
"i got",639
"are the",637
"to say",637
"with my",636
"a bit",635
"from a",635
"and that",631
"its not",628
"to work",627
"after the",625
"that you",625
"through the",620
"wanted to",620
"have the",613
"it to",607
"like to",607
"new york",605
"i do",604
"of course",604
"get a",597
"end of",595
"the state",593
"it would",590
"last year",589
"that it",588
"dont know",587
"you dont",585
"we can",584
"cant wait",581
"said he",581
"the city",578
"of their",575
"she was",575
"not a",574
"that we",571
"this week",571
"to help",571
"to find",569
"into a",567
"of them",566
"up the",566
"out the",564
"up with",564
"they have",559
"for you",557
"is to",551
"such a",551
"for my",549
"which is",549
"by a",543
"love you",543
"most of",543
"we were",541
"i hope",538
"i thought",536
"it will",536
"such as",536
"to be a",535
"up and",534
"there was",532
"going to be",530
"and we",528
"you want",528
"make it",527
"you to",527
"and its",526
"did not",525
"during the",524
"not to",524
"i did",522
"i feel",522
"in an",520
"off the",520
"a very",519
"he has",519
"make a",514
"could be",510
"because of",509
"to you",507
"the game",504
"what you",504
"in their",503
"i like",499
"if the",498
"that they",497
"to keep",497
"and he",496
"she said",495
"of your",491
"the us",491
"and his",490
"the past",489
"do it",488
"he had",488
"and you",487
"when he",486
"the end of",484
"used to",484
"i really",482
"a year",479
"know what",479
"of it",476
"the second",475
"dont have",472
"look at",472
"and other",471
"me and",471
"a couple",469
"what is",469
"around the",467
"i get",466
"of us",466
"the right",466
"out to",463
"had been",460
"to know",459
"because i",458
"in your",458
"to come",457
"about it",456
"is in",456
"it and",456
"of all",454
"so many",454
"a big",453
"people who",451
"i want to",450
"are not",449
"do not",448
"of you",447
"of those",446
"and they",443
"see you",443
"forward to",442
"just a",442
"last night",441
"to play",440
"my life",439
"who is",439
"no one",437
"on this",437
"get to",435
"in and",435
"it has",435
"got a",434
"is going",434
"try to",434
"to give",433
"you will",432
"looking for",431
"for this",429
"well as",428
"im going",427
"is an",426
"ive been",424
"is it",422
"to use",421
"see the",418
"the top",418
"high school",417
"the rest",417
"get the",416
"out of the",415
"them to",414
"be in",412
"in our",412
"it in",411
"and in",410
"are a",410
"years ago",410
"as well as",409
"been a",409
"may be",409
"me i",408
"at pm",407
"did you",407
"enough to",407
"was in",407
"not the",406
"up in",405
"the one",404
"before the",403
"let me",403
"was not",403
"of that",402
"what the",400
"that would",399
"know that",398
"we had",398
"when it",397
"you think",396
"you for",395
"be able",393
"the house",393
"you do",393
"a long",392
"be able to",391
"last week",391
"if they",390
"some of the",390
"said that",389
"she is",388
"i hate",387
"we will",387
"you get",387
"take a",386
"i wish",384
"it was a",383
"than the",383
"to all",383
"you and",383
"when they",382
"so far",381
"at all",380
"for your",378
"couple of",377
"of her",377
"part of the",376
"and to",373
"instead of",372
"on his",372
"up for",372
"went to",372
"number of",371
"with you",371
"lots of",370
"not be",370
"and im",369
"follow me",369
"me a",369
"but its",368
"feel like",368
"to his",368
"is no",367
"is so",366
"on your",366
"im going to",364
"ready to",363
"time i",363
"it i",362
"and more",361
"wait to",361
"with his",361
"the whole",360
"come to",359
"i have a",358
"of these",358
"to start",358
"and my",357
"and not",357
"the th",356
"to hear",356
"away from",355
"for all",355
"those who",355
"with me",355
"as it",354
"does not",354
"to this",354
"love to",353
"you need",353
"first time",352
"of an",352
"thanks to",352
"who are",352
"rest of",351
"up a",351
"i dont know",350
"this morning",350
"about a",348
"make the",348
"the people",348
"but he",347
"how much",347
"might be",347
"down the",346
"and is",345
"back in",345
"if it",345
"that are",345
"what a",345
"across the",344
"as an",344
"i guess",344
"in that",344
"out there",343
"for an",342
"to win",342
"a small",341
"hope you",341
"check out",340
"hard to",339
"after a",336
"the two",336
"decided to",335
"like that",335
"of people",335
"the rest of",335
"the year",335
"too much",335
"is my",334
"to your",334
"who was",333
"is one",332
"i need to",331
"to put",330
"him to",329
"a day",328
"against the",328
"it all",328
"that a",328
"the company",328
"now i",326
"will have",326
"i have to",325
"got to",323
"out and",323
"this is a",323
"and was",322
"the fact",322
"you guys",322
"ill be",321
"where the",321
"for that",320
"for some",319
"love the",319
"the country",319
"when we",319
"of its",318
"its the",317
"each other",316
"if youre",316
"we need",316
"as much",315
"having a",315
"if we",315
"to watch",315
"under the",315
"i wanted",314
"is going to",314
"their own",314
"time for",314
"up on",314
"you were",313
"cant wait to",312
"get it",312
"to meet",312
"a week",311
"the season",311
"this was",311
"than a",310
"to try",310
"working on",310
"the big",309
"theres a",309
"as they",308
"not only",308
"think i",308
"this time",308
"in which",307
"is still",307
"thank you for",307
"for his",306
"had the",306
"the book",306
"there were",306
"wants to",306
"dont want",305
"even if",305
"it out",305
"many of",305
"what we",305
"the s",303
"with an",303
"along with",302
"end of the",302
"looks like",302
"or a",302
"the first time",302
"you cant",302
"must be",301
"as he",300
"make sure",300
"need a",300
"what they",300
"a couple of",298
"have you",298
"needs to",298
"a man",297
"at home",297
"of what",297
"that she",297
"to our",297
"with her",297
"are in",296
"better than",296
"fact that",296
"has to",296
"so that",296
"at this",295
"about to",293
"even though",293
"it up",292
"love it",292
"my own",292
"but not",291
"on their",291
"that will",291
"the story",291
"wish i",291
"for it",290
"looking forward",290
"st louis",290
"then i",289
"but im",288
"and if",287
"based on",287
"is on",287
"you should",287
"for more",286
"there is a",286
"this weekend",286
"and all",285
"due to",285
"i love you",285
"know how",285
"said i",285
"to tell",285
"and so",284
"im so",284
"in her",284
"you want to",284
"can you",283
"i miss",283
"ready for",283
"the case",283
"think of",283
"who has",283
"i should",282
"looking forward to",282
"or the",282
"but they",281
"talk about",281
"the team",281
"a way",280
"for their",280
"percent of",279
"the night",279
"and she",278
"at the end",278
"is just",278
"is now",278
"like it",278
"to look",278
"to pay",278
"have no",277
"i see",277
"my favorite",277
"it a",276
"going on",275
"the show",275
"time and",275
"to her",275
"it would be",274
"he would",273
"i still",273
"said it",273
"that has",273
"and have",272
"i used",272
"say that",272
"and get",271
"can do",271
"day of",270
"the national",270
"was just",270
"as we",269
"listening to",269
"a while",268
"but we",268
"front of",268
"bit of",267
"the fact that",267
"dont think",266
"for our",266
"if he",266
"and for",265
"as you",265
"chance to",265
"do the",265
"much of",265
"on it",265
"to an",264
"was so",264
"you like",264
"i saw",263
"like this",262
"do i",261
"happy birthday",261
"i havent",261
"on that",261
"so we",260
"there is no",260
"good morning",259
"talking about",259
"to go to",259
"with this",259
"because it",258
"im a",258
"in new",258
"is what",258
"not sure",258
"they dont",258
"to talk",258
"know i",257
"tried to",257
"you all",257
"you could",257
"i found",256
"it is a",256
"less than",256
"that this",256
"us to",256
"you a",256
"may have",255
"tell you",255
"thats what",255
"to their",255
"down to",254
"have an",254
"in fact",254
"in front",254
"it on",254
"new jersey",254
"on twitter",254
"this one",254
"you have to",254
"are so",253
"for us",253
"they can",253
"but you",252
"in one",252
"to stop",252
"for the first",251
"in the world",251
"its been",251
"the end of the",250
"a chance",249
"a time",249
"am i",249
"i went",249
"out for",249
"out in",249
"rather than",249
"time in",249
"we all",249
"and their",248
"just got",248
"the more",248
"like i",247
"one of my",247
"seems to",247
"to show",247
"should have",246
"supposed to",246
"the kids",246
"find a",245
"for years",245
"to it",245
"can get",244
"could have",244
"know the",244
"most of the",244
"people are",244
"his own",243
"made a",243
"makes me",243
"my mom",243
"side of",243
"to buy",243
"and now",242
"because they",242
"full of",242
"i never",242
"thats a",242
"to have a",242
"top of",241
"will not",241
"you have a",241
"since the",240
"the middle",240
"the word",240
"i had to",239
"tell me",239
"is also",238
"me that",238
"she has",238
"waiting for",238
"being a",237
"for her",237
"i said",237
"was going",237
"while the",237
"with it",237
"do with",236
"in front of",236
"in order",236
"the final",236
"the future",236
"they will",236
"has the",235
"think that",235
"told me",235
"made it",234
"on to",234
"we dont",234
"what it",234
"a nice",233
"according to the",233
"because the",233
"in it",233
"do that",232
"my new",232
"you in",232
"you see",232
"it for",231
"off to",231
"they had",231
"for them",230
"i also",230
"it doesnt",230
"out on",230
"said in",230
"the man",230
"this is the",230
"we do",230
"with your",230
"would like",230
"all of the",229
"continue to",229
"from my",229
"how the",229
"next week",229
"seem to",229
"are going",228
"between the",228
"much more",228
"to share",228
"to think",228
"where i",228
"at am",227
"not have",227
"sort of",227
"the old",227
"the road",227
"think about",227
"i mean",226
"in the first",226
"is one of",226
"just as",226
"to follow",226
"and how",225
"at the end of",225
"how i",225
"i dont think",225
"live in",225
"the school",225
"you just",225
"a huge",224
"all i",224
"close to",224
"it seems",224
"with their",224
"were not",223
"how many",222
"to leave",222
"to live",222
"it will be",221
"the public",221
"to read",221
"what do",221
"day to",220
"it but",220
"that there",220
"with that",220
"all day",219
"and her",218
"as if",218
"here is",218
"listen to",218
"next year",218
"no matter",218
"until the",218
"and what",217
"and will",217
"any of",217
"good luck",217
"i wanted to",217
"much as",217
"the great",217
"a better",216
"he will",216
"i made",216
"looking at",216
"my first",216
"one day",216
"what are",216
"be on",215
"or not",215
"who have",215
"your own",215
"and has",214
"is more",214
"no longer",214
"when she",214
"in all",213
"is this",213
"of me",213
"the back",213
"them and",213
"to be the",213
"to write",213
"wait for",213
"what he",213
"about how",212
"all that",212
"amount of",212
"i knew",212
"the sun",212
"the united",212
"but if",211
"me the",211
"the follow",211
"the third",211
"was an",211
"he did",210
"i had a",210
"the entire",210
"to move",210
"all my",209
"day and",209
"of the day",209
"people in",209
"thats the",209
"excited to",208
"got the",208
"look like",208
"that one",208
"a large",207
"along the",207
"at my",207
"can see",207
"in its",207
"its just",207
"life is",207
"los angeles",207
"not just",207
"she had",207
"take the",207
"that its",207
"to create",207
"what to",207
"and this",206
"expected to",206
"i have been",206
"it the",206
"more of",206
"talk to",206
"make me",205
"think its",205
"when i was",205
"about this",204
"all over",204
"dont want to",204
"here in",204
"how do",204
"on her",204
"out a",204
"the american",204
"the idea",204
"which was",204
"with some",204
"but that",203
"for those",203
"if you are",203
"of life",203
"the states",203
"to stay",203
"who had",203
"every day",202
"said she",202
"the real",202
"to bring",202
"well i",202
"would not",202
"year and",202
"and even",201
"back and",201
"get out",201
"me in",201
"might have",201
"same time",201
"that in",201
"to make a",201
"use of",201
"at the same",200
"interested in",200
"is about",200
"for the follow",199
"i believe",199
"im just",199
"in to",199
"miss you",199
"mothers day",199
"on our",199
"with all",199
"among the",198
"and some",198
"before i",198
"comes to",198
"i think i",198
"rest of the",198
"to them",198
"and when",197
"it comes",197
"to change",197
"united states",197
"it with",196
"lack of",196
"my mind",196
"so the",196
"to eat",196
"to run",196
"you would",196
"and there",195
"i couldnt",195
"it wasnt",195
"made the",195
"order to",195
"to learn",195
"for the first time",194
"may not",194
"only one",194
"see what",194
"this season",194
"two years",194
"with them",194
"that were",193
"the government",193
"the morning",193
"them in",193
"as much as",192
"do this",192
"the rest of the",192
"things that",192
"work on",192
"a friend",191
"for example",191
"it can",191
"not going",191
"of being",191
"the same time",191
"what was",191
"your life",191
"and your",190
"can i",190
"dont get",190
"i always",190
"of the most",190
"on friday",190
"that my",190
"the ball",190
"you so",190
"a bad",189
"do a",189
"have a great",189
"in some",189
"out with",189
"since i",189
"the movie",189
"the original",189
"took a",189
"why i",189
"be there",188
"came to",188
"for him",188
"him and",188
"i say",188
"just like",188
"now that",188
"see a",188
"so excited",188
"the worst",188
"to him",188
"to let",188
"were going",188
"gonna be",187
"his first",187
"in order to",187
"so you",187
"in the past",186
"list of",186
"the university",186
"the week",186
"thinking about",186
"time of",186
"was going to",186
"work with",186
"are still",185
"my heart",185
"only a",185
"you got",185
"a whole",184
"i started",184
"if you want",184
"im sure",184
"the good",184
"to that",184
"want to be",184
"would you",184
"you might",184
"in addition",183
"is all",183
"today i",183
"you may",183
"i wanna",182
"if you have",182
"my friend",182
"next to",182
"of the year",182
"sense of",182
"the board",182
"think it",182
"and are",181
"and as",181
"on saturday",181
"the number",181
"the truth",181
"told the",181
"university of",181
"where you",181
"willing to",181
"a different",180
"director of",180
"find out",180
"her to",180
"im in",180
"needed to",180
"see it",180
"that if",180
"the family",180
"today is",180
"which i",180
"back to the",179
"it as",179
"it just",179
"life and",179
"likely to",179
"the st",179
"the united states",179
"to sleep",179
"you the",179
"a bit of",178
"all about",178
"and an",178
"and just",178
"back on",178
"i felt",178
"of new",178
"to see you",178
"with us",178
"wont be",178
"a month",177
"but a",177
"did i",177
"didnt know",177
"his wife",177
"i feel like",177
"to make it",177
"up at",177
"use the",177
"all the time",176
"and make",176
"and one",176
"can make",176
"good to",176
"in love",176
"people to",176
"to do with",176
"what happened",176
"yes i",176
"a single",175
"a woman",175
"at the time",175
"because he",175
"but in",175
"long time",175
"of time",175
"piece of",175
"an hour",174
"friends and",174
"happy to",174
"have some",174
"me on",174
"theres no",174
"throughout the",174
"to see the",174
"ability to",173
"am not",173
"and no",173
"and on",173
"and thats",173
"here are",173
"is very",173
"one of those",173
"san francisco",173
"social media",173
"sure to",173
"the lord",173
"then the",173
"was on",173
"with him",173
"and had",172
"deal with",172
"group of",172
"have any",172
"he says",172
"just the",172
"know if",172
"many people",172
"now and",172
"the door",172
"the law",172
"the point",172
"watching the",172
"you go",172
"are all",171
"at the same time",171
"down and",171
"go back",171
"i go",171
"of how",171
"the money",171
"the very",171
"two of",171
"come on",170
"i might",170
"i will be",170
"i wont",170
"is there",170
"it was the",170
"plenty of",170
"through a",170
"we should",170
"are some",169
"easy to",169
"i wish i",169
"the bottom",169
"would like to",169
"dont like",168
"focus on",168
"he could",168
"its like",168
"me know",168
"on monday",168
"over a",168
"the car",168
"these are",168
"we could",168
"when a",168
"years of",168
"a more",167
"and said",167
"could not",167
"for following",167
"have to be",167
"hope to",167
"in the s",167
"made me",167
"president of",167
"said they",167
"the field",167
"to be in",167
"to build",167
"to check",167
"day i",166
"even more",166
"half of",166
"i dont have",166
"is like",166
"my head",166
"on its",166
"opportunity to",166
"that im",166
"the latest",166
"the things",166
"are going to",165
"become a",165
"during a",165
"every time",165
"home and",165
"is your",165
"like you",165
"long as",165
"see how",165
"thanks for the follow",165
"we got",165
"will never",165
"about that",164
"proud of",164
"the problem",164
"type of",164
"would love",164
"you love",164
"a real",163
"it does",163
"not in",163
"place to",163
"the county",163
"we need to",163
"after all",162
"and see",162
"but there",162
"come out",162
"few days",162
"from his",162
"get my",162
"had no",162
"have not",162
"i find",162
"its all",162
"you had",162
"you too",162
"be at",161
"believe that",161
"find the",161
"if you dont",161
"is being",161
"one is",161
"one thing",161
"the internet",161
"the water",161
"thought it",161
"thousands of",161
"to us",161
"a second",160
"i dont want",160
"me too",160
"that have",160
"the moment",160
"to make the",160
"was one",160
"we would",160
"and be",159
"at work",159
"be an",159
"here and",159
"my friends",159
"not even",159
"some people",159
"the film",159
"the main",159
"these days",159
"we have a",159
"but also",158
"didnt have",158
"have had",158
"i am not",158
"i cant wait",158
"million in",158
"nice to",158
"not going to",158
"the air",158
"the biggest",158
"the ground",158
"way of",158
"we want",158
"were in",158
"a chance to",157
"a special",157
"any other",157
"i took",157
"is really",157
"its time",157
"on top",157
"pick up",157
"the weekend",157
"they want",157
"too many",157
"version of",157
"you need to",157
"a game",156
"a place",156
"as long",156
"but this",156
"for one",156
"he also",156
"i remember",156
"little bit",156
"member of",156
"no idea",156
"or even",156
"something to",156
"think the",156
"to become",156
"we get",156
"with no",156
"work and",156
"a book",155
"and i have",155
"now the",155
"on and",155
"set up",155
"sounds like",155
"that could",155
"the court",155
"the federal",155
"was to",155
"department of",154
"in for",154
"of which",154
"over and",154
"they do",154
"time the",154
"you i",154
"it could",153
"it had",153
"let me know",153
"members of",153
"pretty much",153
"right to",153
"the little",153
"the work",153
"they would",153
"to ask",153
"to get a",153
"us and",153
"was no",153
"behind the",152
"is for",152
"its so",152
"on how",152
"put the",152
"something that",152
"the rt",152
"there and",152
"there was a",152
"to get the",152
"were going to",152
"years and",152
"a person",151
"about what",151
"at that",151
"give me",151
"give you",151
"man who",151
"my family",151
"on an",151
"this month",151
"welcome to",151
"where he",151
"will take",151
"a major",150
"a million",150
"at me",150
"day in",150
"how you",150
"i decided",150
"know you",150
"love that",150
"rt i",150
"see if",150
"still have",150
"the white",150
"was that",150
"what do you",150
"why do",150
"would be a",150
"a wonderful",149
"as long as",149
"be more",149
"he didnt",149
"hit the",149
"in the middle",149
"not that",149
"so it",149
"to its",149
"a part",148
"he can",148
"him in",148
"i read",148
"if u",148
"me for",148
"or more",148
"pay for",148
"plans to",148
"so good",148
"that can",148
"the floor",148
"the music",148
"watch the",148
"but then",147
"happened to",147
"i wasnt",147
"last month",147
"of god",147
"to spend",147
"using the",147
"a beautiful",146
"did it",146
"do you think",146
"end up",146
"thats why",146
"the name",146
"though i",146
"to pick",146
"with our",146
"a little bit",145
"and were",145
"as she",145
"get back",145
"good for",145
"lets go",145
"to bed",145
"a free",144
"a job",144
"a team",144
"addition to",144
"am so",144
"figure out",144
"for what",144
"from to",144
"go to the",144
"is good",144
"it should",144
"it so",144
"its going",144
"on tuesday",144
"plan to",144
"san diego",144
"that makes",144
"the group",144
"to and",144
"to call",144
"while i",144
"work in",144
"at it",143
"but when",143
"how it",143
"hundreds of",143
"i love the",143
"idea of",143
"if its",143
"is at",143
"it takes",143
"one that",143
"other than",143
"out that",143
"the news",143
"there will",143
"to provide",143
"two weeks",143
"will be a",143
"a number",142
"a pretty",142
"a statement",142
"im still",142
"my dad",142
"put it",142
"someone who",142
"the process",142
"trip to",142
"we love",142
"within the",142
"a group",141
"a yearold",141
"and do",141
"but as",141
"family and",141
"in the same",141
"lol i",141
"need to be",141
"say the",141
"the event",141
"was also",141
"we know",141
"yeah i",141
"and with",140
"coming to",140
"dont forget",140
"for the rt",140
"get in",140
"in other",140
"is the best",140
"much for",140
"my husband",140
"not so",140
"of any",140
"on me",140
"the project",140
"to one",140
"ways to",140
"you on",140
"all you",139
"and also",139
"care of",139
"i wonder",139
"involved in",139
"middle of",139
"one in",139
"the local",139
"as many",138
"been in",138
"best of",138
"for its",138
"i am so",138
"i think its",138
"i told",138
"its own",138
"just to",138
"love and",138
"my way",138
"next time",138
"state of",138
"that his",138
"three years",138
"were a",138
"will get",138
"and at",137
"be so",137
"come back",137
"go out",137
"great to",137
"in there",137
"the guy",137
"the hospital",137
"the question",137
"to join",137
"wake up",137
"were the",137
"when it comes",137
"also a",136
"an amazing",136
"an old",136
"and others",136
"because of the",136
"food and",136
"great day",136
"have fun",136
"i wouldnt",136
"im gonna",136
"is a great",136
"know it",136
"or so",136
"the early",136
"to save",136
"a half",135
"all this",135
"in any",135
"it makes",135
"near the",135
"read the",135
"so i can",135
"the area",135
"the community",135
"the front",135
"the power",135
"the summer",135
"to avoid",135
"who will",135
"and it was",134
"do something",134
"filled with",134
"follow back",134
"for a while",134
"getting a",134
"it at",134
"it is the",134
"over to",134
"soon as",134
"the citys",134
"the district",134
"the middle of",134
"the street",134
"today and",134
"way i",134
"where they",134
"a former",133
"a full",133
"a girl",133
"be sure",133
"had an",133
"one of the most",133
"or two",133
"the person",133
"thing i",133
"to add",133
"to do it",133
"wait to see",133
"your favorite",133
"did the",132
"i look",132
"if there",132
"in my life",132
"it also",132
"the bill",132
"the hell",132
"the ones",132
"a child",131
"a guy",131
"are on",131
"enjoy the",131
"have it",131
"is going to be",131
"let the",131
"must have",131
"people and",131
"side of the",131
"that way",131
"the greatest",131
"the home",131
"to school",131
"to visit",131
"a family",130
"access to",130
"do you have",130
"glad to",130
"including the",130
"is only",130
"known as",130
"make you",130
"making a",130
"not as",130
"the beginning",130
"the following",130
"the three",130
"the years",130
"when youre",130
"are just",129
"before you",129
"go on",129
"got my",129
"i know i",129
"more about",129
"of the best",129
"picked up",129
"saw the",129
"taking a",129
"the wrong",129
"think you",129
"time with",129
"to catch",129
"to support",129
"took the",129
"we did",129
"we just",129
"about my",128
"and our",128
"and two",128
"in new york",128
"in on",128
"more to",128
"of other",128
"on sunday",128
"pair of",128
"said we",128
"so happy",128
"the reason",128
"the university of",128
"to some",128
"when im",128
"and of",127
"because we",127
"get your",127
"i may",127
"is always",127
"on facebook",127
"really good",127
"the issue",127
"things are",127
"think we",127
"won the",127
"but for",126
"but what",126
"create a",126
"get some",126
"health care",126
"me up",126
"more than a",126
"my phone",126
"on thursday",126
"place in",126
"take it",126
"than i",126
"to those",126
"was one of",126
"was still",126
"where we",126
"who were",126
"would love to",126
"a part of",125
"a really",125
"at a time",125
"came out",125
"get on",125
"good thing",125
"it comes to",125
"it may",125
"on what",125
"the economy",125
"the market",125
"the number of",125
"to sell",125
"to what",125
"very good",125
"will do",125
"year old",125
"a way to",124
"and let",124
"called the",124
"come in",124
"dont have to",124
"from this",124
"in the morning",124
"more and",124
"new year",124
"please follow",124
"talking to",124
"tend to",124
"the current",124
"the former",124
"the police",124
"they could",124
"this book",124
"this summer",124
"this will",124
"to make sure",124
"very much",124
"week and",124
"which has",124
"which he",124
"youre not",124
"a strong",123
"bunch of",123
"cant wait for",123
"even a",123
"i hear",123
"ice cream",123
"is in the",123
"nothing to",123
"quite a",123
"say i",123
"that i have",123
"the cost",123
"the top of",123
"to hold",123
"with its",123
"you dont have",123
"you must",123
"am a",122
"and most",122
"are now",122
"as soon",122
"at his",122
"cant believe",122
"ended up",122
"form of",122
"have done",122
"in addition to",122
"it when",122
"its hard",122
"just want",122
"look forward",122
"my best",122
"my day",122
"only the",122
"our own",122
"outside the",122
"series of",122
"so im",122
"then you",122
"was very",122
"are we",121
"as part",121
"as part of",121
"as soon as",121
"be done",121
"believe in",121
"cant wait to see",121
"dont even",121
"each of",121
"for being",121
"he and",121
"how are",121
"i must",121
"if not",121
"in the last",121
"is one of the",121
"its going to",121
"look for",121
"see that",121
"thanks so",121
"that and",121
"want a",121
"was at",121
"would make",121
"you feel",121
"a young",120
"are more",120
"but she",120
"few years",120
"got it",120
"the perfect",120
"the words",120
"to everyone",120
"when it comes to",120
"without a",120
"a long time",119
"back from",119
"back in the",119
"because you",119
"days of",119
"do is",119
"dont care",119
"he doesnt",119
"her own",119
"look forward to",119
"so glad",119
