"word","freq"
"the end of the",233
"at the end of",202
"for the first time",200
"the rest of the",195
"at the same time",178
"thanks for the follow",176
"is one of the",142
"is going to be",130
"one of the most",127
"when it comes to",117
"cant wait to see",111
"in the middle of",111
"to be able to",111
"i am going to",110
"i dont want to",105
"thanks for the rt",105
"going to be a",97
"thank you for the",95
"in the united states",93
"if you want to",92
"one of the best",86
"thank you so much",86
"a lot of people",82
"i dont know what",76
"i would like to",75
"said in a statement",75
"i cant wait to",72
"its going to be",70
"by the end of",69
"for the rest of",69
"on the other hand",66
"one of my favorite",66
"as well as the",63
"the top of the",62
"what do you think",62
"have a lot of",61
"i wish i could",61
"the first time in",60
"the middle of the",60
"at the university of",59
"i was able to",59
"i would love to",59
"was one of the",58
"a bit of a",57
"as part of the",57
"i was going to",57
"in front of the",57
"will be able to",57
"in the first place",56
"i dont know if",55
"happy mothers day to",53
"the best way to",53
"a little bit of",52
"going to have to",52
"to go to the",51
"as much as i",50
"the bottom of the",50
"are you going to",49
"have a great day",48
"i thought it was",48
"at the top of",47
"on my way to",47
"a member of the",45
"for a long time",45
"i have no idea",45
"as well as a",44
"hope to see you",44
"i want to be",44
"a few years ago",43
"had a lot of",43
"if you have a",43
"the beginning of the",43
"there are so many",43
"to do with the",43
"wait to see you",43
"was going to be",43
"have a great weekend",42
"i just want to",42
"i look forward to",42
"im not going to",42
"are a lot of",41
"thanks so much for",41
"the back of the",41
"there are a lot",41
"to be in the",41
"to go back to",41
"trying to figure out",41
"as a result of",40
"in the midst of",40
"is one of my",40
"let me know if",40
"a couple of weeks",39
"in the late s",39
"most of the time",39
"this is the first",39
"you have to do",39
"i dont think i",38
"i feel like i",38
"i have to say",38
"in one of the",38
"looking forward to the",38
"nothing to do with",38
"to come up with",38
"at the beginning of",37
"looking forward to seeing",37
"to be part of",37
"you dont have to",37
"had a great time",36
"in new york city",36
"it was a good",36
"cant wait for the",35
"for the most part",35
"for the sake of",35
"in the block of",35
"mothers day to all",35
"thanks for the ff",35
"you want to be",35
"a lot of time",34
"end of the day",34
"should be able to",34
"this is one of",34
"want to go to",34
"all over the world",33
"as soon as i",33
"be a part of",33
"i dont know how",33
"im going to be",33
"in the early s",33
"in the form of",33
"not be able to",33
"thanks for the mention",33
"the name of the",33
"we are going to",33
"a lot of fun",32
"i cant wait for",32
"i didnt want to",32
"i need to get",32
"i really want to",32
"i want to go",32
"it was a great",32
"it would have been",32
"the first time i",32
"the only way to",32
"the other side of",32
"you so much for",32
"a few weeks ago",31
"are some of the",31
"as one of the",31
"at the time of",31
"do you have a",31
"for a couple of",31
"for a few days",31
"i dont have a",31
"im looking forward to",31
"in a way that",31
"in front of me",31
"it would be a",31
"looking forward to it",31
"over and over again",31
"to get back to",31
"to get out of",31
"when i was a",31
"a great deal of",30
"a lot of the",30
"are going to be",30
"but i dont think",30
"executive director of the",30
"i dont even know",30
"i had no idea",30
"if you dont have",30
"in the s and",30
"know what to do",30
"on the other side",30
"thanks for the shout",30
"the fact that i",30
"a great way to",29
"in a long time",29
"in the face of",29
"in the name of",29
"italian people in italy",29
"the italian people in",29
"to make sure that",29
"would be a good",29
"and one of the",28
"as you can see",28
"be able to get",28
"be one of the",28
"can i get a",28
"did you know that",28
"figure out how to",28
"have to go to",28
"hope you have a",28
"i dont have to",28
"i want to do",28
"i wish i had",28
"in addition to the",28
"me know if you",28
"on top of the",28
"over the course of",28
"so much for the",28
"the center of the",28
"the new york times",28
"the rest of my",28
"this is going to",28
"to take care of",28
"what are you doing",28
"a big fan of",27
"a lot of money",27
"a lot of things",27
"a part of the",27
"dont know how to",27
"had a chance to",27
"have to do is",27
"in the way of",27
"not going to be",27
"take a look at",27
"thank you for your",27
"thanks for the retweet",27
"that awkward moment when",27
"you have to be",27
"a few of the",26
"as part of a",26
"come up with a",26
"contributed to this report",26
"find a way to",26
"going to be the",26
"hope all is well",26
"i want to see",26
"in the first round",26
"is part of the",26
"it will be a",26
"the end of this",26
"the first time since",26
"there are a few",26
"was the first time",26
"and a lot of",25
"cant wait to hear",25
"do you want to",25
"for the shout out",25
"i have to go",25
"i went to the",25
"in the first half",25
"is one of those",25
"let me tell you",25
"some of the best",25
"thanks for following me",25
"the end of a",25
"to get rid of",25
"with the help of",25
"you dont want to",25
"a couple of days",24
"as long as you",24
"day to all the",24
"dont get me wrong",24
"for more than a",24
"for those of you",24
"from time to time",24
"have no idea what",24
"i feel like im",24
"i just wanted to",24
"in the second half",24
"make it to the",24
"my husband and i",24
"on the way to",24
"one of the biggest",24
"one of the things",24
"the fact that the",24
"to be a part",24
"to share with you",24
"to the end of",24
"turned out to be",24
"would love to see",24
"you have a great",24
"a few days ago",23
"as long as i",23
"from am to pm",23
"get a chance to",23
"going to try to",23
"i felt like i",23
"i thought i was",23
"i was in the",23
"in front of a",23
"in the first quarter",23
"in the wake of",23
"is a good thing",23
"looking forward to your",23
"not being able to",23
"of the united states",23
"on the back of",23
"one of the few",23
"one of the reasons",23
"the first day of",23
"the only one who",23
"the time of the",23
"to be on the",23
"to be one of",23
"to deal with the",23
"to get to the",23
"to the point where",23
"we were able to",23
"with the fact that",23
"you are going to",23
"back in the day",22
"do you have any",22
"end of the year",22
"i love you so",22
"if you are a",22
"if you have any",22
"in and out of",22
"in love with the",22
"in the case of",22
"in the history of",22
"is supposed to be",22
"makes me want to",22
"one of the greatest",22
"that i have a",22
"that it would be",22
"that there is a",22
"the florence italy rentals",22
"the last day of",22
"the past few years",22
"the s and s",22
"the start of the",22
"this time of year",22
"to the point of",22
"we look forward to",22
"would have to be",22
"would you like to",22
"a big part of",21
"all over the place",21
"all the way to",21
"and the rest of",21
"as far as i",21
"but at the same",21
"could not be reached",21
"couple of weeks ago",21
"forward to seeing you",21
"hundreds of thousands of",21
"i can tell you",21
"i dont think its",21
"i wish i was",21
"in the back of",21
"in the world and",21
"is a lot of",21
"let me know when",21
"of one of the",21
"one of the many",21
"one way or another",21
"over the past few",21
"some of the most",21
"the side of the",21
"the size of the",21
"there will be a",21
"theres a lot of",21
"this is what i",21
"to check it out",21
"to figure out how",21
"to participate in the",21
"to talk to you",21
"to the united states",21
"what to do with",21
"with some of the",21
"you can see the",21
"at the bottom of",20
"but i have to",20
"but it was a",20
"dont know what to",20
"dont want to be",20
"from all over the",20
"have to deal with",20
"he was going to",20
"i dont know why",20
"i have to do",20
"i love you too",20
"i think its a",20
"i think this is",20
"i thought i would",20
"in a couple of",20
"in a lot of",20
"in an attempt to",20
"in the third quarter",20
"its been a while",20
"keep up the good",20
"let us know if",20
"may or may not",20
"more than a decade",20
"nice to meet you",20
"the course of the",20
"the middle of a",20
"the rest of us",20
"this would be a",20
"to get into the",20
"to say that i",20
"to the fact that",20
"were going to be",20
"with the rest of",20
"a chance to win",19
"a couple of hours",19
"a couple of years",19
"a lot of work",19
"a spokesman for the",19
"am looking forward to",19
"and i have to",19
"are you talking about",19
"as much as possible",19
"cant wait to get",19
"for some reason i",19
"get out of the",19
"going to have a",19
"great to see you",19
"have a good day",19
"have to be a",19
"how much i love",19
"i dont have any",19
"i hope you have",19
"i miss you too",19
"i think it was",19
"i was a little",19
"im going to have",19
"in the near future",19
"in the same way",19
"its one of the",19
"just in time for",19
"once in a while",19
"other side of the",19
"the front of the",19
"the only thing that",19
"the state department of",19
"the us department of",19
"to be a good",19
"to give you a",19
"to go to a",19
"to look forward to",19
"to one of the",19
"up in the morning",19
"up the good work",19
"want to be a",19
"we would love to",19
"what is your favorite",19
"wont be able to",19
"you just have to",19
"you know what i",19
"a trip to the",18
"and i have a",18
"as long as it",18
"at a time when",18
"but that doesnt mean",18
"end of the month",18
"for the kind words",18
"go back to the",18
"i need to go",18
"i want you to",18
"i was trying to",18
"i will have to",18
"if you dont like",18
"in a series of",18
"in the last few",18
"in the living room",18
"in the morning and",18
"in the process of",18
"in the right direction",18
"in the world of",18
"is the first time",18
"it was the first",18
"know what you think",18
"looking forward to a",18
"might be able to",18
"of some of the",18
"of the people who",18
"of the th century",18
"on the side of",18
"one of the first",18
"she was going to",18
"so far this year",18
"thanks for all the",18
"that i need to",18
"the heart of the",18
"the history of the",18
"the size of a",18
"there is also a",18
"this is not a",18
"thought it would be",18
"to be in a",18
"to do the same",18
"to do with it",18
"to figure out what",18
"to go to school",18
"to learn how to",18
"to look at the",18
"two and a half",18
"we were going to",18
"when i was in",18
"would be able to",18
"would have been a",18
"you never know what",18
"a look at the",17
"a whole lot of",17
"all of a sudden",17
"and the fact that",17
"are more likely to",17
"as much as the",17
"at the center of",17
"at the hands of",17
"be part of the",17
"both sides of the",17
"for more than years",17
"good to see you",17
"had so much fun",17
"have the right to",17
"here are a few",17
"high high high high",17
"hope you had a",17
"i am not a",17
"i am so excited",17
"i didnt have to",17
"i had to do",17
"i have a lot",17
"i really need to",17
"if you want a",17
"ill be able to",17
"in a news release",17
"in the bay area",17
"in the bottom of",17
"in the fourth quarter",17
"in the heart of",17
"in the second quarter",17
"is based on the",17
"it is going to",17
"it is one of",17
"it was just a",17
"it was one of",17
"its gonna be a",17
"let me know how",17
"love you so much",17
"made it to the",17
"on a daily basis",17
"one of the top",17
"rest of the day",17
"rest of the world",17
"said in an interview",17
"seems to be a",17
"so far so good",17
"thank you to all",17
"thanks for the support",17
"the first half of",17
"the last couple of",17
"there is no way",17
"this is a very",17
"this is not the",17
"those of us who",17
"thought it was a",17
"to hear from you",17
"to keep up with",17
"was supposed to be",17
"we need to be",17
"we went to the",17
"what would you do",17
"wish i could be",17
"with a lot of",17
"you can do it",17
"you for the follow",17
"you would like to",17
"a few months ago",16
"a good idea to",16
"about percent of the",16
"all you have to",16
"and it was a",16
"as a matter of",16
"at the start of",16
"at the time and",16
"be reached for comment",16
"but i have a",16
"did a great job",16
"do not want to",16
"fall in love with",16
"fell in love with",16
"give it a try",16
"going to be in",16
"great to meet you",16
"has nothing to do",16
"has to do with",16
"have a great time",16
"i just need to",16
"i know i am",16
"i need to be",16
"i think it is",16
"i thought it would",16
"in a number of",16
"in an effort to",16
"in order to get",16
"it could be a",16
"it is important to",16
"it used to be",16
"it was great to",16
"martin luther king jr",16
"on the fact that",16
"really looking forward to",16
"rest of my life",16
"right in front of",16
"set the stage for",16
"take advantage of the",16
"thanks for stopping by",16
"that this is the",16
"thats a good thing",16
"the best of the",16
"the last two years",16
"the number of people",16
"the only thing i",16
"this is a great",16
"this is the best",16
"those of you who",16
"to make a difference",16
"to take advantage of",16
"we had a great",16
"we have a lot",16
"what are you going",16
"what is going on",16
"what it takes to",16
"why is it that",16
"would like to see",16
"you dont have a",16
"you want to do",16
"a friend of mine",15
"a long time ago",15
"a very long time",15
"all i can say",15
"and i am so",15
"and i dont know",15
"and i dont think",15
"and i dont want",15
"and some of the",15
"as a way to",15
"at the time i",15
"be able to do",15
"but it is a",15
"for a few minutes",15
"for a lot of",15
"for as long as",15
"for most of the",15
"from the university of",15
"have the ability to",15
"he was able to",15
"i am looking forward",15
"i didnt have a",15
"i dont think it",15
"i feel like a",15
"i have to get",15
"i want to get",15
"i wanted to do",15
"i was about to",15
"if i want to",15
"if there was a",15
"if youd like to",15
"if youre going to",15
"in response to a",15
"in the context of",15
"in the end i",15
"in the world is",15
"it is time to",15
"it was time to",15
"just wanted to say",15
"let me know what",15
"no one wants to",15
"not to mention the",15
"over the past years",15
"take a moment to",15
"thank you very much",15
"thanks for the kind",15
"that you have to",15
"the best in the",15
"the day of the",15
"the fact that it",15
"the future of the",15
"the nature of the",15
"the past two years",15
"the rest of your",15
"the shit out of",15
"the united states and",15
"the way to the",15
"there is a lot",15
"they are going to",15
"they dont want to",15
"think it would be",15
"this is why i",15
"to all of our",15
"to be the best",15
"to get on the",15
"to say the least",15
"to the top of",15
"turns out to be",15
"was a lot of",15
"we need to do",15
"what was going on",15
"what you want to",15
"with one of the",15
"with salt and pepper",15
"you are looking for",15
"you have no idea",15
"you really want to",15
"you want me to",15
"youre not going to",15
"a chance to see",14
"a few of my",14
"all i know is",14
"all the time but",14
"and out of the",14
"and thanks for the",14
"as a result the",14
"as long as the",14
"at the age of",14
"but i dont know",14
"but i think the",14
"but im going to",14
"by the time i",14
"do you have to",14
"do you know what",14
"dont know what the",14
"during the course of",14
"every now and then",14
"for a chance to",14
"for a little while",14
"g fat g saturated",14
"get a lot of",14
"got a lot of",14
"had nothing to do",14
"had the opportunity to",14
"had to go to",14
"have a hard time",14
"have a lot to",14
"have a problem with",14
"he said in a",14
"here are some of",14
"how have you been",14
"i dont care if",14
"i dont think that",14
"i have a feeling",14
"i know i know",14
"i love the way",14
"i need to do",14
"i think i will",14
"i think it would",14
"i used to be",14
"i want to make",14
"i was on the",14
"if you do not",14
"if you dont know",14
"im not sure if",14
"im not sure what",14
"in order to be",14
"in terms of the",14
"is expected to be",14
"it back to the",14
"its a good thing",14
"ive been trying to",14
"know what it is",14
"leading up to the",14
"little bit of a",14
"look forward to the",14
"make the most of",14
"may be able to",14
"more than million in",14
"not be reached for",14
"of the fact that",14
"on a regular basis",14
"on the edge of",14
"on the road to",14
"on the verge of",14
"out of the way",14
"player of the year",14
"please let me know",14
"quote of the day",14
"so i decided to",14
"so that i can",14
"some of the more",14
"take the time to",14
"thanks for following us",14
"thanks for the tweet",14
"that i want to",14
"that it was a",14
"that would be a",14
"that would have been",14
"the first time the",14
"the good news is",14
"the hell out of",14
"the last time i",14
"the nec mobilepro pda",14
"the next few days",14
"the next few weeks",14
"the president of the",14
"the same time i",14
"the wall street journal",14
"there are lots of",14
"there will be no",14
"there you have it",14
"this has been a",14
"this is a good",14
"this is my first",14
"to be a great",14
"to catch up on",14
"to go to bed",14
"to make sure the",14
"to see you in",14
"to share it with",14
"wait to see the",14
"was part of the",14
"we dont have to",14
"we dont want to",14
"were going to have",14
"what it means to",14
"with a bunch of",14
"you are having a",14
"a copy of the",13
"a good way to",13
"a hell of a",13
"a lot of them",13
"a piece of paper",13
"a wide variety of",13
"according to the report",13
"am going to be",13
"and i had a",13
"and i want to",13
"and this is what",13
"and we had a",13
"anything to do with",13
"are going to have",13
"are looking forward to",13
"as far as the",13
"as soon as we",13
"at the expense of",13
"at the heart of",13
"at the very least",13
"awkward moment when you",13
"be a good day",13
"be sure to check",13
"become one of the",13
"been a lot of",13
"been a while since",13
"but i think its",13
"but im not sure",13
"do my best to",13
"dont have to be",13
"dont know if you",13
"earlier in the day",13
"feel the need to",13
"for a while and",13
"for the heads up",13
"for the second time",13
"g protein g carbohydrate",13
"happy birthday to my",13
"have to say that",13
"have to worry about",13
"hour and a half",13
"i am in the",13
"i am so grateful",13
"i dont give a",13
"i dont have the",13
"i dont know about",13
"i dont think so",13
"i have a few",13
"i hope you are",13
"i just have to",13
"i know i can",13
"i think i have",13
"i want to know",13
"i was in a",13
"i was looking for",13
"i would have to",13
"if i wanted to",13
"if it was a",13
"if you are not",13
"if you live in",13
"if you look at",13
"if you would like",13
"ill let you know",13
"in front of you",13
"in need of a",13
"in new york and",13
"in the middle east",13
"in the parking lot",13
"in the real world",13
"is likely to be",13
"is not going to",13
"it can be a",13
"it would be the",13
"just a little bit",13
"keep an eye out",13
"less than a year",13
"more than a year",13
"of the things that",13
"on the new york",13
"one of the great",13
"one of the largest",13
"other parts of the",13
"out of the house",13
"protein g carbohydrate g",13
"seems to be the",13
"she and her husband",13
"shout out to my",13
"so i can get",13
"so im going to",13
"so that we can",13
"tens of thousands of",13
"thank you for all",13
"thank you for following",13
"thanks for the rts",13
"that i had to",13
"that i have to",13
"that this is a",13
"the end of it",13
"the fact that he",13
"the fact that they",13
"the fact that we",13
"the first of the",13
"the first round of",13
"the goal is to",13
"the head of the",13
"the last few years",13
"the last three years",13
"the life of a",13
"the lord thy god",13
"the one and only",13
"the other day and",13
"the power of the",13
"the right thing to",13
"the th anniversary of",13
"there was a lot",13
"they dont have to",13
"think im going to",13
"this will be the",13
"to be at the",13
"to be the most",13
"to figure out the",13
"to get up and",13
"to give it a",13
"to go out and",13
"to make up for",13
"to pay for the",13
"to see all the",13
"to see if i",13
"to see you on",13
"to sign up for",13
"up and down the",13
"us know if you",13
"want to be able",13
"want to make sure",13
"want to talk to",13
"was able to get",13
"we are looking for",13
"we just have to",13
"we need to get",13
"when i get home",13
"when it came to",13
"when you get a",13
"will have to be",13
"would love to have",13
"would love to hear",13
"you are in the",13
"you get a chance",13
"you have to go",13
"you might want to",13
"you need to be",13
"you need to do",13
"you want to go",13
"youre going to be",13
"a glass of wine",12
"a good time to",12
"a little more than",12
"a picture of the",12
"a result of the",12
"all i want to",12
"all the way through",12
"and i am not",12
"and i know that",12
"and it is a",12
"and there is no",12
"are we going to",12
"are you ready for",12
