"word","freq"
"the",142718
"to",82476
"and",71282
"a",70760
"of",59589
"in",49101
"i",49058
"for",32795
"is",32141
"that",31148
"you",28067
"it",27222
"on",24550
"with",21382
"was",18507
"my",17877
"at",17180
"be",16289
"this",16171
"have",15762
"are",14550
"as",14388
"but",14217
"he",12875
"we",12526
"not",12187
"so",11578
"from",11243
"me",11030
"its",10872
"all",9762
"they",9574
"by",9314
"will",9308
"or",9238
"said",9226
"an",8975
"just",8921
"his",8904
"your",8881
"about",8808
"up",8782
"out",8707
"one",8629
"if",8376
"what",8350
"like",8176
"when",7807
"has",7755
"who",7429
"can",7406
"im",7284
"do",7240
"more",7198
"had",7021
"get",6834
"were",6662
"time",6453
"there",6270
"their",6234
"would",6105
"some",6074
"her",6022
"no",5945
"new",5892
"she",5833
"our",5584
"been",5446
"dont",5366
"good",5356
"now",5354
"day",5153
"how",5083
"them",4911
"love",4867
"know",4850
"people",4746
"us",4382
"go",4249
"which",4217
"see",4151
"than",4114
"back",4101
"make",4039
"first",3978
"after",3953
"into",3948
"other",3872
"also",3859
"going",3815
"think",3812
"over",3753
"only",3730
"last",3727
"well",3707
"then",3691
"much",3648
"great",3618
"because",3570
"too",3528
"him",3527
"am",3479
"year",3476
"two",3390
"really",3383
"even",3355
"way",3325
"could",3304
"got",3283
"today",3224
"want",3180
"did",3162
"still",3111
"work",3111
"right",3051
"need",2993
"thanks",2973
"years",2948
"here",2922
"off",2913
"where",2874
"very",2872
"most",2864
"any",2713
"thats",2710
"life",2688
"those",2687
"rt",2654
"down",2627
"many",2624
"before",2609
"cant",2595
"little",2572
"should",2556
"never",2508
"these",2504
"say",2500
"being",2495
"made",2453
"u",2419
"take",2418
"home",2414
"come",2412
"best",2355
"while",2345
"may",2325
"week",2285
"why",2278
"night",2273
"through",2262
"things",2241
"next",2208
"didnt",2131
"school",2126
"something",2115
"game",2105
"better",2067
"around",2052
"lol",2030
"another",2010
"always",2009
"look",1999
"show",1997
"state",1986
"happy",1979
"ive",1951
"every",1949
"world",1871
"youre",1871
"same",1815
"man",1791
"big",1785
"since",1781
"find",1756
"long",1756
"city",1744
"again",1736
"such",1721
"use",1721
"help",1717
"hope",1685
"thing",1679
"three",1671
"days",1666
"few",1664
"feel",1648
"own",1641
"sure",1632
"follow",1621
"lot",1585
"getting",1583
"put",1560
"ill",1558
"ever",1549
"both",1545
"each",1538
"says",1526
"team",1526
"does",1521
"keep",1506
"until",1503
"place",1498
"house",1496
"let",1493
"tonight",1492
"give",1478
"play",1475
"part",1470
"family",1469
"end",1460
"thank",1453
"though",1451
"looking",1441
"pm",1413
"away",1409
"old",1408
"might",1405
"doing",1389
"everyone",1389
"morning",1366
"season",1365
"used",1358
"fun",1350
"free",1338
"hes",1336
"th",1336
"thought",1336
"done",1327
"went",1322
"during",1310
"high",1305
"yes",1294
"book",1293
"left",1293
"start",1292
"oh",1289
"someone",1289
"please",1285
"live",1277
"without",1277
"doesnt",1274
"friends",1274
"st",1261
"enough",1258
"having",1258
"tell",1253
"million",1235
"found",1230
"call",1228
"money",1226
"working",1212
"god",1209
"against",1206
"times",1202
"told",1202
"bad",1190
"pretty",1187
"making",1182
"between",1178
"came",1175
"hard",1171
"nice",1164
"yet",1155
"real",1149
"run",1147
"already",1137
"makes",1133
"read",1131
"theres",1127
"wait",1125
"coming",1119
"must",1118
"s",1112
"percent",1111
"music",1109
"job",1107
"trying",1106
"took",1101
"second",1099
"food",1082
"top",1082
"try",1082
"once",1079
"under",1079
"called",1078
"story",1077
"tomorrow",1076
"actually",1068
"far",1068
"public",1066
"least",1051
"set",1051
"different",1043
"county",1039
"police",1038
"soon",1035
"friday",1034
"nothing",1034
"kids",1033
"everything",1029
"point",1026
"started",1023
"anything",1017
"weekend",1013
"business",1008
"stop",1008
"win",988
"open",986
"guys",985
"four",983
"room",981
"twitter",981
"believe",979
"id",973
"maybe",970
"person",970
"later",959
"together",958
"change",953
"hey",953
"bit",950
"care",947
"early",944
"wanted",944
"girl",942
"head",942
"past",940
"anyone",939
"check",928
"ago",920
"small",919
"less",916
"awesome",911
"d",911
"kind",910
"myself",910
"group",909
"company",906
"talk",906
"children",895
"games",893
"case",886
"party",886
"including",882
"name",878
"support",874
"saw",873
"able",872
"full",872
"minutes",870
"white",869
"friend",868
"water",868
"watch",867
"seen",865
"ready",862
"hit",861
"news",850
"course",849
"watching",849
"month",844
"lets",841
"along",836
"post",836
"yeah",836
"others",835
"hours",834
"isnt",834
"black",832
"center",831
"almost",829
"amazing",828
"whats",825
"miss",822
"wish",822
"probably",821
"weeks",821
"haha",818
"class",817
"hear",815
"half",813
"wasnt",811
"side",809
"local",807
"months",807
"young",805
"true",798
"heart",795
"guy",794
"theyre",794
"asked",791
"national",791
"students",790
"comes",788
"line",788
"saturday",788
"american",786
"mind",786
"idea",777
"using",777
"playing",775
"area",773
"finally",772
"wont",772
"whole",771
"according",762
"remember",761
"else",760
"five",758
"movie",757
"country",752
"cool",748
"president",748
"beautiful",746
"office",746
"car",745
"forward",745
"pay",745
"taking",744
"favorite",743
"mean",740
"looks",739
"number",739
"gonna",737
"women",737
"however",735
"plan",735
"fact",734
"face",732
"often",729
"hate",727
"late",726
"community",725
"court",725
"law",725
"lost",725
"stay",725
"blog",724
"leave",724
"power",723
"summer",723
"needs",717
"running",717
"sometimes",713
"become",712
"move",710
"following",709
"couple",708
"saying",708
"states",702
"birthday",701
"several",699
"bring",695
"cut",694
"sunday",694
"ask",693
"close",692
"service",692
"thinking",691
"road",689
"baby",686
"government",686
"project",686
"enjoy",684
"seems",682
"instead",675
"health",673
"excited",672
"monday",672
"park",672
"special",672
"program",664
"red",663
"former",660
"outside",660
"street",658
"word",657
"list",656
"ok",652
"share",652
"experience",651
"stuff",651
"hot",650
"means",649
"meet",648
"series",647
"buy",646
"quite",645
"song",641
"important",640
"john",639
"problem",638
"w",638
"information",637
"deal",636
"phone",636
"board",635
"whether",635
"words",630
"add",628
"social",628
"system",628
"either",627
"heard",625
"tuesday",625
"university",623
"york",623
"college",621
"question",621
"mom",617
"history",616
"feeling",615
"event",614
"turn",614
"hand",612
"reason",612
"future",610
"wrong",610
"april",609
"gets",609
"order",606
"behind",605
"talking",605
"havent",603
"tweet",602
"light",600
"reading",600
"rather",598
"especially",596
"thursday",596
"sorry",593
"fall",591
"six",591
"felt",590
"girls",590
"art",589
"shes",589
"living",588
"meeting",588
"hell",587
"guess",586
"men",586
"woman",586
"rest",584
"goes",582
"market",582
"chance",581
"writing",580
"given",579
"sleep",579
"matter",578
"books",577
"moment",576
"gave",575
"knew",575
"short",574
"couldnt",573
"across",572
"large",571
"sweet",571
"parents",565
"beer",564
"shit",563
"video",563
"easy",561
"film",558
"needed",558
"taken",558
"coach",557
"points",556
"bill",555
"among",554
"members",554
"mother",554
"ones",553
"perfect",553
"starting",553
"players",552
"cause",551
"gone",551
"south",551
"decided",550
"email",549
"march",549
"pick",549
"hour",547
"front",545
"glad",545
"green",545
"body",544
"store",544
"drive",543
"online",543
"building",541
"interesting",541
"played",541
"walk",540
"third",539
"san",538
"available",535
"dinner",535
"eat",535
"fire",534
"space",533
"visit",533
"yourself",532
"lead",528
"added",527
"final",527
"card",526
"although",525
"possible",523
"understand",522
"lives",520
"mr",520
"report",520
"wednesday",520
"works",520
"spring",519
"welcome",519
"north",518
"rock",518
"officials",517
"happen",515
"director",514
"spent",513
"tv",513
"within",513
"death",510
"child",508
"break",506
"loved",506
"bed",503
"department",502
"field",502
"learn",500
"won",499
"b",497
"strong",497
"wants",497
"happened",495
"write",495
"looked",494
"process",494
"wouldnt",493
"eyes",492
"fans",492
