"word","freq"
"of the",13034
"in the",12366
"to the",6556
"for the",6030
"on the",5836
"to be",4795
"at the",4221
"and the",3836
"in a",3701
"with the",3284
"is a",3049
"it was",2870
"for a",2865
"from the",2638
"i was",2626
"with a",2620
"i have",2602
"of a",2432
"it is",2425
"going to",2394
"and i",2343
"will be",2289
"i am",2282
"if you",2273
"have a",2212
"is the",2191
"to get",2162
"one of",2159
"as a",2073
"want to",1889
"i dont",1862
"have to",1848
"by the",1815
"and a",1791
"that the",1787
"to do",1785
"this is",1761
"was a",1749
"the first",1722
"that i",1682
"i think",1679
"to a",1669
"out of",1664
"on a",1643
"to see",1637
"all the",1576
"you can",1561
"i love",1529
"to make",1524
"but i",1494
"a lot",1487
"the same",1486
"have been",1426
"be a",1423
"he was",1415
"need to",1386
"would be",1371
"you have",1356
"a few",1342
"when i",1340
"thanks for",1338
"more than",1329
"has been",1316
"to go",1311
"of my",1305
"you are",1289
"about the",1268
"in my",1257
"as the",1254
"a great",1246
"the best",1227
"a little",1223
"a good",1218
"he said",1207
"thank you",1204
"i can",1200
"to have",1182
"i know",1178
"we are",1143
"they are",1133
"into the",1122
"i had",1114
"had a",1099
"i just",1082
"there is",1077
"that is",1044
"is not",1034
"a new",1029
"the new",1023
"so i",1017
"the world",1016
"over the",1009
"we have",1002
"lot of",994
"so much",988
"like a",984
"the most",965
"part of",963
"but the",952
"do you",940
"on my",936
"i will",934
"there are",931
"trying to",928
"and then",919
"its a",917
"are you",911
"i would",911
"able to",908
"was the",903
"back to",896
"as well",890
"can be",890
"at least",880
"you know",879
"is that",871
"the way",853
"some of",847
"the last",846
"all of",842
"for me",831
"at a",829
"the next",829
"if i",821
"to take",821
"when you",820
"i cant",817
"to me",815
"in this",807
"he is",803
"that he",803
"the time",797
"go to",793
"of his",791
"up to",787
"way to",782
"i want",781
"and it",776
"said the",773
"time to",754
"the other",749
"kind of",748
"i could",734
"im not",726
"be the",725
"but it",725
"that was",717
"the only",713
"of this",708
"to my",708
"when the",708
"in his",704
"should be",702
"the end",700
"what i",697
"right now",695
"has a",694
"the day",689
"get a",688
"they were",683
"this year",678
"according to",677
"had to",670
"that you",667
"how to",658
"from a",657
"of our",653
"through the",652
"of course",650
"a bit",644
"that we",644
"i do",643
"as i",641
"me to",639
"that it",637
"are the",636
"i got",631
"and we",629
"with my",625
"like the",624
"said he",623
"to say",622
"would have",622
"i need",620
"is to",619
"have the",617
"i didnt",617
"its not",614
"after the",611
"and that",611
"it to",610
"into a",603
"it would",598
"dont know",596
"like to",592
"we were",592
"which is",589
"not a",588
"up the",579
"she was",577
"to find",577
"of them",572
"of their",571
"out the",570
"we can",569
"wanted to",568
"such as",563
"for you",561
"up with",561
"to keep",560
"if the",559
"new york",557
"end of",554
"last year",554
"i hope",553
"it will",552
"because of",551
"such a",551
"cant wait",550
"a big",549
"that they",549
"by a",547
"most of",547
"the us",547
"there was",546
"could be",545
"make it",544
"i feel",543
"this week",543
"a year",540
"you dont",539
"i thought",537
"the state",536
"during the",534
"he has",534
"and he",533
"to work",533
"she said",532
"you want",532
"of it",527
"love you",526
"of your",526
"you to",526
"the city",519
"me and",517
"for my",511
"up and",508
"i like",507
"just a",504
"when he",503
"make a",502
"forward to",501
"try to",500
"what is",498
"and they",495
"to help",495
"to you",494
"and his",492
"a very",491
"did not",491
"the game",491
"in your",487
"and other",486
"the right",486
"they have",486
"and you",485
"what you",485
"it and",482
"used to",482
"off the",481
"not to",479
"know what",478
"in their",476
"i get",475
"i did",474
"out to",473
"a couple",472
"high school",471
"last night",471
"look at",471
"do not",470
"and its",469
"do it",469
"you will",469
"had been",468
"in an",468
"people who",468
"to come",464
"because i",463
"see the",462
"well as",456
"around the",454
"may be",453
"is in",452
"is an",451
"years ago",451
"is it",449
"looking for",448
"who is",448
"i really",446
"the second",446
"get the",445
"in our",445
"up in",445
"been a",444
"about it",443
"it has",443
"know that",443
"the one",443
"in and",441
"ive been",441
"take a",441
"got a",440
"my life",437
"see you",436
"are not",434
"dont have",434
"and in",426
"are a",426
"the past",426
"not the",424
"to give",424
"be able",423
"of her",423
"on his",423
"so many",423
"to play",423
"number of",422
"get to",420
"the top",420
"for this",418
"let me",418
"he had",417
"of those",417
"to know",417
"we will",417
"if they",415
"is so",411
"the rest",410
"a long",409
"before the",409
"is going",407
"and my",406
"of us",406
"be in",405
"when they",405
"them to",404
"ready to",402
"is one",401
"not be",399
"it in",398
"that would",398
"was in",397
"to hear",395
"did you",394
"and to",393
"at all",393
"feel like",393
"no one",391
"of that",391
"we had",390
"come to",389
"of you",389
"than the",389
"was not",389
"went to",389
"of all",388
"first time",385
"the th",385
"what the",384
"to use",383
"and not",382
"lots of",382
"you for",382
"you get",382
"so far",381
"to start",381
"when we",381
"for your",380
"me i",380
"you and",380
"back in",379
"she is",379
"to his",379
"on this",378
"out there",378
"the house",378
"up for",377
"against the",376
"the year",376
"you think",376
"those who",375
"in that",373
"with you",373
"for his",371
"to all",369
"couple of",368
"last week",368
