"word","freq"
"the",143900
"to",83506
"and",72659
"a",72445
"of",60146
"in",49880
"i",49084
"for",33228
"is",32501
"that",31760
"you",28649
"it",27521
"on",24387
"with",21663
"was",18587
"my",18239
"at",17067
"be",16530
"this",16135
"have",16077
"are",14832
"as",14513
"but",14340
"he",13198
"we",13127
"not",12187
"from",11635
"so",11615
"me",11129
"its",10845
"all",9894
"they",9865
"will",9425
"by",9384
"said",9324
"or",9294
"just",9176
"his",9166
"your",9059
"about",8994
"up",8994
"out",8922
"an",8861
"one",8636
"if",8506
"what",8336
"like",8226
"when",8107
"has",7879
"can",7727
"who",7512
"im",7395
"more",7387
"do",7346
"get",7029
"had",6756
"were",6587
"her",6533
"time",6320
"there",6265
"would",6240
"their",6084
"she",5992
"some",5972
"new",5959
"no",5916
"our",5637
"been",5588
"how",5421
"now",5364
"dont",5344
"good",5343
"day",5073
"them",5070
"love",4981
"know",4951
"people",4918
"us",4483
"than",4427
"back",4364
"which",4337
"go",4299
"see",4180
"first",4168
"make",4044
"also",4011
"into",3978
"after",3958
"well",3852
"because",3786
"over",3782
"last",3766
"think",3760
"going",3754
"great",3753
"only",3747
"him",3739
"then",3728
"other",3698
"much",3621
"year",3582
"two",3539
"could",3506
"really",3477
"am",3435
"too",3429
"way",3429
"today",3383
"even",3333
"got",3249
"still",3192
"want",3172
"years",3134
"did",3120
"right",3090
"work",3075
"where",2969
"need",2957
"here",2953
"thanks",2886
"off",2851
"any",2849
"very",2835
"rt",2736
"most",2721
"many",2719
"thats",2696
"before",2649
"those",2646
"take",2633
"down",2612
"life",2610
"being",2606
"should",2566
"say",2559
"made",2547
"cant",2544
"never",2528
"little",2512
"these",2497
"come",2480
"home",2442
"best",2436
"next",2387
"u",2380
"may",2348
"while",2336
"why",2324
"through",2280
"night",2278
"school",2268
"things",2247
"week",2196
"game",2191
"something",2148
"lol",2118
"always",2068
"another",2016
"didnt",2015
"every",2003
"happy",1993
"ive",1971
"better",1965
"world",1964
"look",1940
"state",1939
"big",1936
"around",1934
"show",1896
"youre",1860
"feel",1836
"few",1832
"such",1788
"since",1780
"long",1779
"man",1779
"again",1772
"same",1772
"thing",1754
"three",1733
"find",1681
"own",1675
"days",1674
"sure",1667
"help",1662
"lot",1660
"hope",1657
"city",1646
"getting",1620
"use",1618
"follow",1617
"does",1599
"keep",1571
"ever",1566
"ill",1563
"family",1550
"says",1547
"team",1540
"both",1530
"put",1521
"each",1520
"until",1520
"give",1518
"let",1512
"house",1494
"part",1491
"place",1486
"thank",1483
"tonight",1467
"looking",1460
"end",1459
"though",1454
"away",1444
"old",1431
"play",1430
"might",1429
"high",1408
"hes",1407
"oh",1378
"book",1373
"pm",1372
"start",1372
"thought",1369
"doing",1367
"free",1361
"th",1361
"done",1355
"yes",1355
"morning",1329
"used",1328
"friends",1324
"went",1324
"everyone",1319
"doesnt",1316
"season",1314
"tell",1303
"without",1298
"found",1293
"left",1288
"someone",1277
"god",1273
"call",1270
"came",1264
"during",1262
"fun",1262
"told",1262
"money",1258
"between",1247
"please",1243
"enough",1240
"having",1238
"st",1238
"bad",1233
"times",1233
"against",1230
"live",1219
"making",1207
"million",1196
"hard",1195
"percent",1181
"working",1181
"already",1175
"try",1168
"theres",1164
"set",1162
"real",1159
"s",1158
"pretty",1152
"wait",1151
"coming",1149
"job",1137
"music",1136
"yet",1135
"far",1125
"point",1119
"called",1118
"second",1116
"nice",1104
"read",1102
"took",1090
"different",1083
"top",1077
"trying",1067
"must",1066
"soon",1064
"food",1063
"public",1063
"stop",1063
"under",1062
"kids",1061
"makes",1061
"run",1051
"maybe",1047
"once",1043
"twitter",1041
"story",1039
"actually",1030
"everything",1028
"win",1027
"county",1024
"weekend",1021
"anything",1018
"talk",1013
"least",1011
"room",1009
"tomorrow",1009
"nothing",1004
"ago",1003
"name",1002
"friday",1001
"four",999
"together",983
"police",980
"started",976
"change",974
"business",972
"open",972
"bit",971
"person",967
"party",949
"later",944
"early",942
"kind",942
"guys",941
"check",940
"ready",930
"small",929
"able",924
"wanted",918
"anyone",916
"course",914
"id",910
"believe",909
"children",909
"months",909
"friend",908
"head",907
"including",907
"group",906
"hey",906
"d",904
"girl",898
"center",896
"myself",892
"white",892
"isnt",891
"awesome",890
"care",889
"less",887
"news",887
"amazing",886
"whats",884
"games",880
"watching",876
"miss",875
"others",875
"company",873
"hit",872
"asked",868
"past",868
"minutes",867
"month",861
"case",858
"lets",856
"watch",856
"support",852
"true",851
"hours",849
"weeks",846
"water",845
"along",841
"full",838
"wasnt",835
"almost",834
"side",832
"idea",831
"lost",829
